onset,offset,cluster
6.801829802259888,6.855906514830509,syll_1
6.875277277542374,6.951953213276837,syll_3
6.990694738700565,7.025400688559323,syll_2
7.072236627829625,7.165054865823975,syll_5
7.173362735659,7.211299505959407,syll_0
7.222167815445737,7.3501678154457375,syll_4
7.748,7.804,syll_1
7.818794844632769,7.902734816384181,syll_3
7.928,7.98,syll_2
8.012,8.116,syll_5
8.12350298040704,8.15818802753884,syll_0
8.168,8.296,syll_4
8.872,8.928,syll_1
8.943882062146894,9.027014918785312,syll_3
9.056,9.108,syll_2
9.136,9.24,syll_5
9.248152368536948,9.285005231114486,syll_0
9.292,9.42,syll_4
11.56132512358757,11.643650865112996,syll_3
11.672,11.724,syll_2
11.752,11.856,syll_5
11.863046587161037,11.896647726569968,syll_0
11.908,12.036,syll_4
12.404,12.46,syll_1
12.480613612288137,12.558903778248588,syll_3
12.592,12.644,syll_2
12.672,12.776,syll_5
12.7816392800558,12.824,syll_0
12.832,12.96,syll_4
