onset,offset,cluster
8.461259079903147,8.515334947538337,syll_1
8.54277643260694,8.615415657788539,syll_3
8.648,8.7,syll_2
8.732,8.836,syll_5
8.847922612358277,8.884,syll_0
8.896,9.024,syll_4
9.632,9.688,syll_1
9.709846650524616,9.789749798224374,syll_3
9.82,9.872,syll_2
9.908,10.012,syll_5
10.02067099080602,10.06,syll_0
10.068,10.196,syll_4
10.6,10.656,syll_1
10.679176755447942,10.75827280064568,syll_3
10.788,10.84,syll_2
10.876,10.98,syll_5
10.98867099080602,11.028,syll_0
11.04,11.168,syll_4
12.56,12.616,syll_1
12.636400322841,12.723567393058918,syll_3
12.748,12.8,syll_2
12.832,12.936,syll_5
12.945754864656772,12.984,syll_0
12.996,13.124,syll_4
