onset,offset,cluster
0.3381759483454399,0.3922518159806296,syll_1
0.4156577885391445,0.4963680387409201,syll_3
0.5270379338175949,0.569814366424536,syll_2
0.6133979015334948,0.7150928167877321,syll_5
0.72,0.768,syll_0
0.776,0.904,syll_4
7.696,7.752,syll_1
7.777126853813559,7.848960098870057,syll_3
7.884,7.936,syll_2
7.964,8.068,syll_5
8.072,8.12,syll_0
8.124,8.252,syll_4
8.98,9.036,syll_1
9.058002913135594,9.145171345338984,syll_3
9.168,9.22,syll_2
9.252,9.356,syll_5
9.356,9.404,syll_0
9.412,9.54,syll_4
9.948,10.004,syll_1
10.02975388418079,10.10562270480226,syll_3
10.136,10.188,syll_2
10.224,10.328,syll_5
10.328,10.376,syll_0
10.384,10.512,syll_4
11.164,11.22,syll_1
11.242025158898304,11.321122439971752,syll_3
11.352,11.404,syll_2
11.436,11.54,syll_5
11.544,11.592,syll_0
11.6,11.728,syll_4
12.405046786723164,12.45993061440678,syll_1
12.486565413135592,12.568891154661015,syll_3
12.596,12.648,syll_2
12.68,12.784,syll_5
12.788,12.836,syll_0
12.844,12.972,syll_4
15.18,15.236,syll_1
15.258958951271186,15.337249117231638,syll_3
15.368,15.42,syll_2
15.448,15.552,syll_5
15.556,15.604,syll_0
15.612,15.74,syll_4
16.175034604519773,16.227497086864407,syll_1
16.249289194915253,16.33080782132768,syll_3
16.36,16.412,syll_2
16.448,16.552,syll_5
16.552,16.6,syll_0
16.608,16.736,syll_4
