onset,offset,cluster
4.277179819915254,4.333677436440678,syll_1
4.364347571125908,4.435373146186441,syll_3
4.472,4.524,syll_2
4.5596679025423725,4.666206265133172,syll_5
4.673649717514124,4.713578692493948,syll_0
4.724,4.852,syll_4
5.608,5.664,syll_1
5.689635858050848,5.767118303571429,syll_3
5.8,5.852,syll_2
5.888,5.992,syll_5
5.996,6.044,syll_0
6.056,6.184,syll_4
7.524,7.58,syll_1
7.605790292070218,7.680044302360775,syll_3
7.716,7.764771589991929,syll_2
7.804,7.908,syll_5
7.912,7.96,syll_0
7.96737503783293,8.106197752723972,syll_4
8.912,8.968,syll_1
8.99401744098063,9.07795675696126,syll_3
9.104,9.156,syll_2
9.192,9.296,syll_5
9.304,9.352,syll_0
9.36,9.488,syll_4
