onset,offset,cluster
2.9830037076271183,3.0386946504237287,syll_1
3.058872528248587,3.138776924435028,syll_3
3.1718686440677963,3.214645745056497,syll_2
3.248,3.352,syll_5
3.3585034463372128,3.3934965536627875,syll_0
3.404,3.532,syll_4
4.38,4.436,syll_1
4.453551818502825,4.537491790254237,syll_3
4.564,4.616,syll_2
4.644,4.748,syll_5
4.7545359477124185,4.796,syll_0
4.804,4.932,syll_4
5.344,5.4,syll_1
5.418038753531073,5.501978725282486,syll_3
5.528,5.58,syll_2
5.612,5.716,syll_5
5.7225359477124185,5.764,syll_0
5.768,5.896,syll_4
6.616,6.672,syll_1
6.689213806497175,6.771539548022599,syll_3
6.8,6.852,syll_2
6.88,6.984,syll_5
6.991625272331155,7.032,syll_0
7.04,7.168,syll_4
8.148,8.204,syll_1
8.221894156073446,8.305834127824859,syll_3
8.336,8.388,syll_2
8.416,8.52,syll_5
8.527625272331155,8.568,syll_0
8.576,8.704,syll_4
9.108,9.164,syll_1
9.182361140536724,9.265493997175142,syll_3
9.296,9.348,syll_2
9.376,9.48,syll_5
9.487625272331156,9.528,syll_0
9.536,9.664,syll_4
11.048,11.104,syll_1
11.122603372175142,11.20250776836158,syll_3
11.232,11.284,syll_2
11.316,11.42,syll_5
11.426535947712418,11.468,syll_0
11.476,11.604,syll_4
13.364,13.42,syll_1
13.438169756355936,13.520495497881358,syll_3
13.548,13.6,syll_2
13.628,13.732,syll_5
13.738535947712418,13.78,syll_0
13.788,13.916,syll_4
14.86,14.916,syll_1
14.936159781073446,15.020906867937851,syll_3
15.048,15.1,syll_2
15.132,15.236,syll_5
15.244671261782951,15.284,syll_0
15.292,15.42,syll_4
