onset,offset,cluster
5.064,5.12,syll_1
5.14001103460452,5.220722545903954,syll_3
5.252,5.304,syll_2
5.332,5.436,syll_5
5.445755169505819,5.484,syll_0
5.492,5.62,syll_4
6.012,6.068,syll_1
6.089162782485875,6.168260063559322,syll_3
6.2,6.252,syll_2
6.288,6.392,syll_5
6.397419538614344,6.44,syll_0
6.448,6.576,syll_4
6.98,7.036,syll_1
7.058492408192091,7.138396804378532,syll_3
7.172,7.224,syll_2
7.252,7.356,syll_5
7.367587354060081,7.408,syll_0
7.416,7.544,syll_4
7.944,8.0,syll_1
8.023786458333333,8.106112199858757,syll_3
8.136,8.188,syll_2
8.22,8.324,syll_5
8.33375516950582,8.372,syll_0
8.384,8.512,syll_4
9.64,9.696,syll_1
9.719061264124294,9.79977277542373,syll_3
9.832,9.884,syll_2
9.916,10.02,syll_5
10.02975516950582,10.068,syll_0
10.08,10.208,syll_4
