onset,offset,cluster
3.248,3.304,syll_1
3.3208048199152542,3.4047447916666664,syll_3
3.432,3.484,syll_2
3.512,3.616,syll_5
3.623587354060082,3.664,syll_0
3.668,3.796,syll_4
4.516,4.572,syll_1
4.5887670374293785,4.676742584745763,syll_3
4.7,4.752,syll_2
4.784,4.888,syll_5
4.894503446337213,4.936,syll_0
4.94,5.068,syll_4
6.4,6.456,syll_1
6.472542461158192,6.556482432909604,syll_3
6.584,6.636,syll_2
6.664,6.768,syll_5
6.7755873540600815,6.816,syll_0
6.82,6.948,syll_4
7.352,7.408,syll_1
7.427344014830509,7.509669756355933,syll_3
7.54,7.592,syll_2
7.62,7.724,syll_5
7.731587354060082,7.772,syll_0
7.78,7.908,syll_4
8.9,8.956,syll_1
8.981009357344634,9.06010663841808,syll_3
9.088,9.14,syll_2
9.168,9.272,syll_5
9.281755169505818,9.32,syll_0
9.328,9.456,syll_4
10.756,10.812,syll_1
10.831708686440678,10.916455773305085,syll_3
10.94,10.992,syll_2
11.024,11.128,syll_5
11.13558735406008,11.176,syll_0
11.18,11.308,syll_4
12.984,13.04,syll_1
13.059299523305086,13.142432379943504,syll_3
13.168,13.22,syll_2
13.248,13.352,syll_5
13.362839077228688,13.4,syll_0
13.408,13.536,syll_4
14.956,15.012,syll_1
15.033471839689266,15.113376235875709,syll_3
15.144,15.196,syll_2
15.224,15.328,syll_5
15.335587354060085,15.376,syll_0
15.384,15.512,syll_4
18.712,18.768,syll_1
18.78973870056497,18.86964309675141,syll_3
18.896,18.948,syll_2
18.98,19.084,syll_5
19.091587116955267,19.132,syll_0
19.136,19.264,syll_4
