onset,offset
3.248,3.304
3.3208048199152542,3.4047447916666664
3.432,3.484
3.512,3.616
3.623587354060082,3.664
3.668,3.796
4.516,4.572
4.5887670374293785,4.676742584745763
4.7,4.752
4.784,4.888
4.894503446337213,4.936
4.94,5.068
6.4,6.456
6.472542461158192,6.556482432909604
6.584,6.636
6.664,6.768
6.7755873540600815,6.816
6.82,6.948
7.352,7.408
7.427344014830509,7.509669756355933
7.54,7.592
7.62,7.724
7.731587354060082,7.772
7.78,7.908
8.9,8.956
8.981009357344634,9.06010663841808
9.088,9.14
9.168,9.272
9.281755169505818,9.32
9.328,9.456
10.756,10.812
10.831708686440678,10.916455773305085
10.94,10.992
11.024,11.128
11.13558735406008,11.176
11.18,11.308
12.984,13.04
13.059299523305086,13.142432379943504
13.168,13.22
13.248,13.352
13.362839077228688,13.4
13.408,13.536
14.956,15.012
15.033471839689266,15.113376235875709
15.144,15.196
15.224,15.328
15.335587354060085,15.376
15.384,15.512
18.712,18.768
18.78973870056497,18.86964309675141
18.896,18.948
18.98,19.084
19.091587116955267,19.132
19.136,19.264
