onset,offset
6.645682001614206,6.694108151735272
6.719129388619857,6.794188861985473
6.83535108958838,6.874092009685231
6.914447134786119,6.999999041565783
7.018838415556901,7.052354494552058
7.068,7.196
7.754640839386602,7.801452784503632
7.836158192090395,7.90637610976594
7.94,7.992
8.02,8.119964550544793
8.124,8.165543280871672
8.18,8.331405606840194
8.68,8.736
8.757062146892656,8.835351089588377
8.868807089891042,8.91354328087167
8.956877988801454,9.050385820217915
9.056,9.104
9.108,9.236
9.7,9.756
9.776432606941082,9.854721549636803
9.884,9.936
9.968,10.072
10.072,10.12
10.128,10.256
10.656,10.712
10.73494235372354,10.815502238610003
10.844,10.896
10.928,11.032
11.032,11.08
11.088,11.216
11.786924939467312,11.840193704600484
11.867635189669087,11.951573849878937
11.976,12.028
12.06,12.164
12.164,12.212
12.22,12.348
12.746569814366424,12.803066989507668
12.828087167070215,12.904761904761903
12.936,12.988
13.02,13.124
13.124,13.172
13.18,13.308
14.284,14.34
14.360774818401936,14.44229217110573
14.472,14.524
14.556,14.66
14.671023965141613,14.708061002178647
14.716,14.844
15.98,16.036
16.059725585149312,16.136400322841002
16.168,16.22
16.252,16.356
16.362745098039216,16.404139433551197
16.412,16.54
17.320419693301048,17.375302663438255
17.397901533494753,17.479418886198548
17.508,17.56
17.592,17.696
17.7,17.748
17.756,17.884
20.808,20.864
20.884382566585955,20.96670702179177
20.992,21.044
21.072,21.176
21.18,21.228
21.232,21.36
21.744753833736883,21.798829701372075
21.824656981436643,21.902945924132364
21.932,21.984
22.016,22.12
22.124,22.172
22.18,22.308
24.8133575464084,24.86501210653753
24.8908393866021,24.964285714285715
24.996,25.048
25.076,25.18
25.190838738507527,25.228
25.236,25.364
25.76331719128329,25.81577885391445
25.84241323648104,25.92070217917676
25.952,26.004
26.032,26.136
26.14,26.188
26.196,26.324
