onset,offset
6.801829802259888,6.855906514830509
6.875277277542374,6.951953213276837
6.990694738700565,7.025400688559323
7.072236627829625,7.165054865823975
7.173362735659,7.211299505959407
7.222167815445737,7.3501678154457375
7.748,7.804
7.818794844632769,7.902734816384181
7.928,7.98
8.012,8.116
8.12350298040704,8.15818802753884
8.168,8.296
8.872,8.928
8.943882062146894,9.027014918785312
9.056,9.108
9.136,9.24
9.248152368536948,9.285005231114486
9.292,9.42
11.56132512358757,11.643650865112996
11.672,11.724
11.752,11.856
11.863046587161037,11.896647726569968
11.908,12.036
12.404,12.46
12.480613612288137,12.558903778248588
12.592,12.644
12.672,12.776
12.7816392800558,12.824
12.832,12.96
