onset,offset
2.9830037076271183,3.0386946504237287
3.058872528248587,3.138776924435028
3.1718686440677963,3.214645745056497
3.248,3.352
3.3585034463372128,3.3934965536627875
3.404,3.532
4.38,4.436
4.453551818502825,4.537491790254237
4.564,4.616
4.644,4.748
4.7545359477124185,4.796
4.804,4.932
5.344,5.4
5.418038753531073,5.501978725282486
5.528,5.58
5.612,5.716
5.7225359477124185,5.764
5.768,5.896
6.616,6.672
6.689213806497175,6.771539548022599
6.8,6.852
6.88,6.984
6.991625272331155,7.032
7.04,7.168
8.148,8.204
8.221894156073446,8.305834127824859
8.336,8.388
8.416,8.52
8.527625272331155,8.568
8.576,8.704
9.108,9.164
9.182361140536724,9.265493997175142
9.296,9.348
9.376,9.48
9.487625272331156,9.528
9.536,9.664
11.048,11.104
11.122603372175142,11.20250776836158
11.232,11.284
11.316,11.42
11.426535947712418,11.468
11.476,11.604
13.364,13.42
13.438169756355936,13.520495497881358
13.548,13.6
13.628,13.732
13.738535947712418,13.78
13.788,13.916
14.86,14.916
14.936159781073446,15.020906867937851
15.048,15.1
15.132,15.236
15.244671261782951,15.284
15.292,15.42
