onset,offset
0.3958837772397095,0.44854721549636795
0.4703389830508475,0.5556900726392252
0.5835351089588379,0.6325665859564166
0.672,0.7759999999999999
0.776,0.824
0.8311138014527847,0.959443099273608
2.536,2.592
2.6161933262711865,2.6952906073446328
2.724,2.776
2.805865377824859,2.9075618820621467
2.912,2.96
2.968,3.096
5.248,5.304
5.328068855932203,5.402323446327683
5.427344014830508,5.474963806497176
5.516,5.62
5.62867126178295,5.660412645939918
5.676,5.804
7.32,7.376
7.398287870762712,7.478192266949152
7.508,7.56
7.592,7.696
7.70467126178295,7.744
7.752,7.88
