onset,offset
0.3381759483454399,0.3922518159806295
0.4156577885391445,0.49636803874092006
0.5270379338175949,0.5698143664245359
0.6133979015334948,0.7150928167877321
0.72,0.768
0.776,0.904
7.696,7.752
7.777126853813559,7.848960098870057
7.884,7.936
7.964,8.068
8.072,8.12
8.124,8.252
8.98,9.036
9.058002913135594,9.145171345338984
9.168,9.22
9.252,9.356
9.356,9.404
9.412,9.54
9.948,10.004
10.02975388418079,10.10562270480226
10.136,10.188
10.224,10.328
10.328,10.376
10.384,10.512
11.164,11.22
11.242025158898304,11.321122439971752
11.352,11.404
11.436,11.54
11.544,11.592
11.6,11.728
12.405046786723164,12.45993061440678
12.486565413135592,12.568891154661015
12.596,12.648
12.68,12.784
12.788,12.836
12.844,12.972
15.18,15.236
15.258958951271186,15.337249117231638
15.368,15.42
15.448,15.552
15.556,15.604
15.612,15.74
16.175034604519773,16.227497086864407
16.249289194915253,16.33080782132768
16.36,16.412
16.448,16.552
16.552,16.6
16.608,16.736
